Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,,empty,,
,Hyderabad,,"Unit No - 02, Block II Cyber Pearl, Hitec City, Madhapur",Hyderabad,,500081,India,Asia Pacific - India,FALSE,Sitel,Call Center,Asia Pacific,India,TRUE,,,
,India - Maxhubs,,India - Maxhubs,India - Maxhubs,,,India,Asia Pacific - India,FALSE,Sitel,MAXhubs,Asia Pacific,India,TRUE,,,
,India - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",India - Other Locations,,,India,Asia Pacific - India,FALSE,Sitel,Other,Asia Pacific,India,TRUE,,,
,India - Virtual,,India - Virtual,India - Virtual,,,India,Asia Pacific - India,FALSE,Sitel,Virtual,EMEA,India,TRUE,,,
,Mumbai,,"501,BOOMERANG, 5th Floor, CHANDIVALI FARM ROAD, ANDHERI ('E)",Mumbai,,400072,India,Asia Pacific - India,FALSE,Sitel,Call Center,Asia Pacific,India,TRUE,,,
,Ireland - Maxhubs,,Ireland - Maxhubs,Ireland - Maxhubs,,,Ireland,EMEA - Ireland,FALSE,Sitel,MAXhubs,EMEA,UKIN,TRUE,,,
,Ireland - Virtual or Client Sites,,Ireland - Virtual or Client Sites,Ireland - Virtual or Client Sites,,,Ireland,EMEA - UK,FALSE,Sitel,Virtual,EMEA,UKIN,TRUE,,,
,Italy - Maxhubs,,Italy - Maxhubs,Italy - Maxhubs,,,Italy,EMEA - Italy,FALSE,Sitel,MAXhubs,EMEA,SPI,TRUE,,,
,Ireland - Virtual or Client Sites,,Ireland - Virtual or Client Sites,Ireland - Virtual or Client Sites,,,Italy,EMEA - Italy,FALSE,Sitel,Virtual,EMEA,SPI,TRUE,,,
,Mexico - Maxhubs,,Mexico - Maxhubs,Mexico - Maxhubs,,,Mexico,LATAM - Mexico,FALSE,Sitel,MAXhubs,LATAM,Central America,TRUE,,,
,Mexico - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Mexico - Other Locations,,,Mexico,LATAM - Mexico,FALSE,Sitel,Other,LATAM,Central America,TRUE,,,
,Mexico - Virtual,,Mexico - Virtual,Mexico - Virtual,,,Mexico,LATAM - Mexico,FALSE,Sitel,Virtual,LATAM,Central America,TRUE,,,
,San Pedro,,"Av. Vasconcelos # 130 oriente, colonia Santa Engracia, San Pedro Garza García",Monterrey,,,Mexico,LATAM - Mexico,FALSE,Sitel,Call Center,LATAM,Central America,TRUE,,,
,Casablanca,,Résidence les myrtilles 156 Bd Yacoub El Mansour,Casablanca,,2000,Morocco,EMEA - Morocco,FALSE,Sitel,Call Center,EMEA,North Africa,TRUE,,,
,Casanearshore,,"1100 Bd El Qods,Casanearshore Park, Sidi Maarouf",Casablanca,,2000,Morocco,EMEA - Morocco,FALSE,Acticall,Call Center,EMEA,North Africa,TRUE,,,
,Fès,,"Park Fès Shore, Rte Sidi Hrazem Fès",Fez,,30000,Morocco,EMEA - Morocco,FALSE,Acticall,Call Center,EMEA,North Africa,TRUE,,,
,Fès BoT,,"Park Fès Shore, Rte Sidi Hrazem Fès",Fez,,30000,Morocco,EMEA - Morocco,FALSE,Acticall,Call Center,EMEA,North Africa,TRUE,,,
,Morocco - Maxhubs,,Morocco - Maxhubs,Morocco - Maxhubs,,,Morocco,EMEA - Morocco,FALSE,Sitel,MAXhubs,EMEA,North Africa,TRUE,,,
,Morocco - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Morocco - Other Locations,,,Morocco,EMEA - Morocco,FALSE,Sitel,Other,EMEA,North Africa,TRUE,,,
,Morocco - Virtual,,Morocco - Virtual,Morocco - Virtual,,,Morocco,EMEA - Morocco,FALSE,Sitel,Virtual,EMEA,North Africa,TRUE,,,
,Rabat Agdal,,"32 Avenue Oqba, Place Ibn Yassine, Agdal",Rabat,,10106,Morocco,EMEA - Morocco,FALSE,Sitel,Call Center,EMEA,North Africa,TRUE,,,
,Rabat Arribat Center,,"Arribat Center, Avenue Inaouin",Rabat,,10106,Morocco,EMEA - Morocco,FALSE,Sitel,Call Center,EMEA,North Africa,TRUE,,,
,Rabat City Center,,"5, Rue Sanaa, Quartier Hassan, CP 10020, Rabat, Moroc",Rabat,,10106,Morocco,EMEA - Morocco,FALSE,Sitel,Call Center,EMEA,North Africa,TRUE,,,
,Almelo,,Twenthe-plein 11,Almelo,,,Netherlands,EMEA - Netherlands,FALSE,Sitel,Call Center,EMEA,BENN,TRUE,,,
,Eindhoven,,"Tormentil 1, 5684 PK Best",Eindhoven,,5684,Netherlands,EMEA - Netherlands,FALSE,Sitel,Call Center,EMEA,BENN,TRUE,,,
,Nethelands - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Nethelands - Other Locations,,,Netherlands,EMEA - Netherlands,FALSE,Sitel,Other,EMEA,BENN,TRUE,,,
,Netherlands - Maxhubs,,Netherlands - Maxhubs,Netherlands - Maxhubs,,,Netherlands,EMEA - Netherlands,FALSE,Sitel,MAXhubs,EMEA,BENN,TRUE,,,
,Netherlands - Virtual,,Netherlands - Virtual,Netherlands - Virtual,,,Netherlands,EMEA - Netherlands,FALSE,Sitel,Virtual,EMEA,BENN,TRUE,,,
,New Zealand - Maxhubs,,New Zealand - Maxhubs,New Zealand - Maxhubs,,,New Zealand,Asia Pacific - New Zealand,FALSE,Sitel,MAXhubs,Asia Pacific,ANZ,TRUE,,,
,New Zealand - Virtual,,New Zealand - Virtual,New Zealand - Virtual,,,New Zealand,Asia Pacific - New Zealand,FALSE,Sitel,Virtual,EMEA,ANZ,TRUE,,,
,Onehunga,,"Level 1, 8 Gloucester Park Rd",Auckland,,1061,New Zealand,Asia Pacific - New Zealand,FALSE,Sitel,Call Center,Asia Pacific,ANZ,TRUE,,,
,Managua - Embassy,,Km 4.5 Carretera Sur. Frente a INISER.,Managua,,,Nicaragua,LATAM - Nicaragua,FALSE,Sitel,Call Center,LATAM,Central America,TRUE,,,
,Managua - Invercasa,,Centro de Convenciones Invercasa. 3ero y 6to Piso.,Managua,,,Nicaragua,LATAM - Nicaragua,FALSE,Sitel,Call Center,LATAM,Central America,TRUE,,,
,Nicaragua - Maxhubs,,Nicaragua - Maxhubs,Nicaragua - Maxhubs,,,Nicaragua,LATAM - Nicaragua,FALSE,Sitel,MAXhubs,LATAM,Central America,TRUE,,,
,Nicaragua - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Nicaragua - Other Locations,,,Nicaragua,LATAM - Nicaragua,FALSE,Sitel,Other,LATAM,Central America,TRUE,,,
,Nicaragua - Virtual,,Nicaragua Virtual,Managua,,,Nicaragua,LATAM - Nicaragua,FALSE,Sitel,Call Center,LATAM,Central America,TRUE,,,
,Nicaragua - Virtual,,Nicaragua - Virtual,Nicaragua - Virtual,,,Nicaragua,LATAM - Nicaragua,FALSE,Sitel,Virtual,LATAM,South America,TRUE,,,
,Panama - Maxhubs,,Panama - Maxhubs,Panama - Maxhubs,,,Panama,LATAM - Panama,FALSE,Sitel,MAXhubs,LATAM,Central America,TRUE,,,
,Panama - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Panama - Other Locations,,,Panama,LATAM - Panama,FALSE,Sitel,Other,LATAM,Central America,TRUE,,,
,Panama - Virtual,,Panama - Virtual,Panama - Virtual,,,Panama,LATAM - Panama,FALSE,Sitel,Virtual,LATAM,Central America,TRUE,,,
,Sitel Plaza,,"Vía Fernandez de Córdoba, Vista  Hermosa, Pueblo Nuevo, District and Province of Panama",Panama City,,,Panama,LATAM - Panama,FALSE,Sitel,Call Center,LATAM,Central America,TRUE,,,
,Baguio Cyber,,"SM Cyber Baguio Annex Building, Upper Harrison Road, Baguio City",Baguio City,Benguet,2600,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Baguio Site 1,,"Infocel Building, (BCEZ) Loakan Road",Baguio City,Benguet,2600,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Baguio Site 2,,"Standard Factory Building 2, (PEZA) Loakan Road",Baguio City,Benguet,2600,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Baguio Site 3,,"Panorama Bldng, Baguio City Economic Zone Auth. Loakan Road",Baguio City,Benguet,2600,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Casanearshore,,"1100 Bd El Qods,Casanearshore Park, Sidi Maarouf",Casablanca,,2000,Morocco,EMEA - Morocco,FALSE,Acticall,Call Center,EMEA,North Africa,TRUE,,,
,Eton,,"2F Buildings 3, Eton Cyberpod Corinthian, Edsa corner Ortigas Ave.","Barrio Ugong Norte, Quezon City",NCR,1110,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,One Julia Vargas (OJV),,"Ortigas Home Depot Complex, One Julia Vargas Ave. Ortigas, Pasig City, Barrio Ugong, Pasig City",Pasig City,NCR,1604,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Philippines - Maxhubs,,Philippines - Maxhubs,Philippines - Maxhubs,Other,,Philippines,Asia Pacific - Philippines,FALSE,Sitel,MAXhubs,Asia Pacific,Philippines,TRUE,,,
,Philippines - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Philippines - Other Locations,Other,,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Other,Asia Pacific,Philippines,TRUE,,,
,Philippines - Virtual,,Philippines - Virtual,Philippines - Virtual,Other,,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Virtual,Asia Pacific,Philippines,TRUE,,,
,Pioneer 1,,"16F Cyber Gate Tower 1, Robinson's Pioneer","Mandaluyong City, Metro Manila",NCR,1554,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Pioneer 2,,12th floor Robinson Cybergate Plaza Edsa Corner Pioneer,"Mandaluyong City, Metro Manila",NCR,1554,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Baguio Site 1,,"Infocel Building, (BCEZ) Loakan Road",Baguio City,Benguet,2600,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
,Puerto Princesa,,"GF-3F-EastVille City Walk Bgy. Pedro Puerto Princesa City, Palawan Province, Philippines.",Puerto Princesa City,Palawan,5300,Philippines,Asia Pacific - Philippines,FALSE,Sitel,Call Center,Asia Pacific,Philippines,TRUE,,,
