Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4
,OXXO,OXXO,CALLE Av. 125 norte mza 45 region 14 colonia ejidal COLONIA EJIDAL MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Cantil CUN,PUNTO DE VENTA,EJIDAL
,OXXO,OXXO,CALLE Av Chaxmool smza 253 mza 3  COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Galaxias del Sol CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE AV. LEONA VICARIO SM 210  COLONIA REGION 101 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Las Lajas CUN,PUNTO DE VENTA,REGION 101
,OXXO,OXXO,CALLE Av. Rafael. e melgar carr. Costera sur Km 3.8 COLONIA COZUMEL CENTRO MUNICIPIO COZUMEL,COZUMEL,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Palmar CUN,PUNTO DE VENTA,COZUMEL CENTRO
,OXXO,OXXO,CALLE BAHIA XCACEL MZA. 23 PLANTA BAJA EDIF 'F'  COLONIA XCARET MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Delfinario CUN,PUNTO DE VENTA,XCARET
,OXXO,OXXO,CALLE Av constituyentes mza 117-A fraccion 3 COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,EJIDO CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Av.20 de noviembre esq Narciso Mendoza COLONIA REGION 100 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Heroes CUN,PUNTO DE VENTA,REGION 100
,OXXO,OXXO,CALLE 30 AV. NORTE  MZA. 31 COLONIA GONZALO GUERRERO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Kahlua CUN,PUNTO DE VENTA,GONZALO GUERRERO
,OXXO,OXXO,CALLE AV BENITO JUAREZ ESQ DIAGONAL 70 NTE MZA210 ZONA1 COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Juarez CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE AV. POLITECNICO SM 510 MZ 32 COLONIA REGION 510 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Antena CUN,PUNTO DE VENTA,REGION 510
,OXXO,OXXO,CALLE AV. LEONA VICARIO SM 208 MZ 27 COLONIA *SUPER MANZANA 200 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Coqueto CUN,PUNTO DE VENTA,*SUPER MANZANA 200
,OXXO,OXXO,CALLE AV. LOS TULES SM 248 MZ 48 FRACC. VILLAS D COLONIA *PRADO NORTE MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,La Ceiba CUN,PUNTO DE VENTA,*PRADO NORTE
,OXXO,OXXO,CALLE Av. 30 Mza. 506  COLONIA LUIS DONALDO COLOSIO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Del Deporte CUN,PUNTO DE VENTA,LUIS DONALDO COLOSIO
,OXXO,OXXO,CALLE AV  TULUM COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Kihuic CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE CALZADA PUERTO MAYA MZ 02 SM 10 REG 10 COLONIA PUERTO AVENTURA MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Aventuras CUN,PUNTO DE VENTA,PUERTO AVENTURA
,OXXO,OXXO,CALLE Av 115 mza 9 lote 1 COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Caleta CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Fonatur MZ-22 COLONIA *SM 313 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Fonatur CUN,PUNTO DE VENTA,*SM 313
,OXXO,OXXO,CALLE Av lopez portillo smza 66 mza 1 COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Crucero CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE AV KOHUNLICH COLONIA SUPERMANZANA  50 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Kohunlich CUN,PUNTO DE VENTA,SUPERMANZANA  50
,OXXO,OXXO,"CALLE AVENIDA HUNAB KU ESQ, AV. ICH XEEL COLONIA CENTRO MUNICIPIO SOLIDARIDAD",SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Cataluna CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Av 65 sur  COLONIA COZUMEL CENTRO MUNICIPIO COZUMEL,COZUMEL,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Corales CUN,PUNTO DE VENTA,COZUMEL CENTRO
,OXXO,OXXO,"CALLE Av. Arco Norte Esq.  Av. Rancho Viejo Lote -372-11 Mza 1, Smz 242 COLONIA *SUPER MANZANA 242 MUNICIPIO BENITO JUAREZ",BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Arco Norte CUN,PUNTO DE VENTA,*SUPER MANZANA 242
,OXXO,OXXO,CALLE Av 10 NORTE mza 145  COLONIA GONZALO GUERRERO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Colosio CUN,PUNTO DE VENTA,GONZALO GUERRERO
,OXXO,OXXO,CALLE Av lopez portillo Smza 70 Mza 03 lote 50 COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,C T M CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE Av Alvaro Obregon Mza 3 colonia centro COLONIA CHETUMAL CENTRO MUNICIPIO OTHON P BLANCO,OTHON P BLANCO,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Kukulcan CUN,PUNTO DE VENTA,CHETUMAL CENTRO
,OXXO,OXXO,CALLE AV. 25 NORTE REGION 01  COLONIA CENTRO MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Municipio CUN,PUNTO DE VENTA,CENTRO
,OXXO,OXXO,CALLE Av chetumal 248 mza 162  COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Casas del Mar CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE PLAZA LAS AVENIDAS COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Las Avenidas CUN,PUNTO DE VENTA,CANCUN CENTRO
,OXXO,OXXO,CALLE RETORNO 02 CHICHEN ITZA COLONIA PLAYA CAR FASE II MUNICIPIO SOLIDARIDAD,SOLIDARIDAD,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Playcar CUN,PUNTO DE VENTA,PLAYA CAR FASE II
,OXXO,OXXO,CALLE Av Chetumal COLONIA *CARIBE MUNICIPIO OTHON P BLANCO,OTHON P BLANCO,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Silueta CUN,PUNTO DE VENTA,*CARIBE
,OXXO,OXXO,CALLE AV COMALCALCO COLONIA SUPERMANZANA  58 MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Comalcalco CUN,PUNTO DE VENTA,SUPERMANZANA  58
,OXXO,OXXO,CALLE Av del Bosque smza 48 mza 6  COLONIA CANCUN CENTRO MUNICIPIO BENITO JUAREZ,BENITO JUAREZ,QUINTANA ROO,,México,OXXO,FALSE,SURESTE,Luciernaga CUN,PUNTO DE VENTA,CANCUN CENTRO
