Add/Edit/Delete,Name,Branch,Address 1,City,State,Zip,Country,Tier Name,Data Privacy,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4
,Maxim,,"Sitel, Maxim 10, Maxim Park, Parklands Avenue, ML1 4WQ",Scotland,,="",Scotland,EMEA - UK,True,Sitel,Call Center,EMEA,UKIN
,Scotland - Maxhubs,,Scotland - Maxhubs,Scotland - Maxhubs,,="",Scotland,EMEA - UK,True,Sitel,MAXhubs,EMEA,UKIN
,Scotland - Virtual,,Scotland - Virtual,Scotland - Virtual,,="",Scotland,EMEA - UK,True,Sitel,Virtual,EMEA,UKIN
,Dakar,,Fann Résidence Rue Léon Gontran DamaS X Alioune Diop,Dakar,,="",Senegal,EMEA - Senegal,True,Sitel,Call Center,EMEA,West Africa
,Senegal - Maxhubs,,Senegal - Maxhubs,Senegal - Maxhubs,,="",Senegal,EMEA - Senegal,True,Sitel,MAXhubs,EMEA,West Africa
,Senegal - Virtual,,Senegal - Virtual,Senegal - Virtual,,="",Senegal,EMEA - Senegal,True,Sitel,Virtual,EMEA,West Africa
,Belgrade,,"The Blue Center, Spanskih Boraca 3",New Belgrade,,="11070",Serbia,EMEA - Serbia,True,Sitel,Call Center,EMEA,GEE
,NIS,,"Nis Satellite Office, Nikodija Stojanovica Tatka bb",NIS,,="18000",Serbia,EMEA - Serbia,True,Sitel,Other,EMEA,GEE
,Serbia - Maxhubs,,Serbia - Maxhubs,Serbia - Maxhubs,,="",Serbia,EMEA - Serbia,True,Sitel,MAXhubs,EMEA,GEE
,Serbia – Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Serbia – Other Locations,,="",Serbia,EMEA - Serbia,True,Sitel,Other,EMEA,GEE
,Serbia - Virtual,,Serbia - Virtual,Serbia - Virtual,,="",Serbia,EMEA - Serbia,True,Sitel,Virtual,EMEA,GEE
,Barcelona - Parc 22,,"Complejo Empresarial, Parc 22@ Edificio B, C/Fluvia 65, Bajo",Barcelona,,="",Spain,EMEA - Spain,True,Sitel,Call Center,EMEA,SPI
,Madrid Retama,,"C/ de la Retama 7, Edificio Indocentro, Planta 11",Madrid,,="",Spain,EMEA - Spain,True,Sitel,Call Center,EMEA,SPI
,Sevilla Rep. Argentina,,"C/  Republica Argentina 25, 6a Planta",Sevilla,,="",Spain,EMEA - Spain,True,Sitel,Call Center,EMEA,SPI
,Spain - Maxhubs,,Spain - Maxhubs,Spain - Maxhubs,,="",Spain,EMEA - Spain,True,Sitel,MAXhubs,EMEA,SPI
,Spain - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",Spain - Other Locations,,="",Spain,EMEA - Spain,True,Sitel,Call Center,EMEA,SPI
,Spain - Virtual,,Spain - Virtual,Spain - Virtual,,="",Spain,EMEA - Spain,True,Sitel,Virtual,EMEA,GEE
,Coventry Earlsden Park,,"The First Floor,Earlsdon Park,53-55 Butts Road.",Coventry,,="CV1 3BH",United Kingdom,EMEA - UK,True,Sitel,Call Center,EMEA,UKIN
,Exeter,,"3 Manor Court, Dixs Field EX 11 Street",Exeter,,="",United Kingdom,EMEA - UK,True,Sitel,Call Center,EMEA,UKIN
,Kingston,,"Mitre House, Canbury Park Road Kingston upon thames, Surrey, W8 4PL",Kingston upon thames,,="",United Kingdom,EMEA - UK,True,Sitel,Call Center,EMEA,UKIN
,Newcastle East,,"SITEL House, Wolsey Business Park Tolpits Lane, Watford HERTS",Newcastle,,="",United Kingdom,EMEA - UK,True,Sitel,Call Center,EMEA,UKIN
,Plymouth,,"17 Brest Road, Derriford",Plymouth,,="PL6 5AA",United Kingdom,EMEA - UK,True,Sitel,Call Center,EMEA,UKIN
,Stratford,,"SITEL House, Timothy's Bridge Road Stratford upon Avon, Warwickshire, CV37 9HY",Stratford upon Avon,,="",United Kingdom,EMEA - UK,True,Sitel,Call Center,EMEA,UKIN
,Swansea,,"1st Floor, Cardigan House, Castle Court, Swansea Enterprise Park",Swansea,,="SA7 9LZ",United Kingdom,EMEA - UK,True,Sitel,Call Center,EMEA,UKIN
,United Kingdom - Maxhubs,,United Kingdom - Maxhubs,United Kingdom - Maxhubs,,="",United Kingdom,EMEA - UK,True,Sitel,MAXhubs,EMEA,UKIN
,United Kingdom - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",United Kingdom - Other Locations,,="",United Kingdom,EMEA - UK,True,Sitel,Other,EMEA,UKIN
,United Kingdom - Virtual,,United Kingdom - Virtual,United Kingdom - Virtual,,="",United Kingdom,EMEA - UK,True,Sitel,Virtual,EMEA,UKIN
,Augusta,,2115 Windsor Springs Road Suite #1,Augusta,GA,="",United States,North America - USA,True,Sitel,Call Center,North America,Southeast
,Caribou,,63 Sweden St,Caribou,ME,="04736",United States,North America - USA,True,Sitel,Call Center,North America,Northeast
,Corning,,101 Canada Road,Painted Post,NY,="",United States,North America - USA,True,Sitel,Call Center,North America,Northeast
,Fishers,,"999 E. 121st Street, Fishers, Indiana",Indiana,IN,="46037",United States,North America - USA,True,Sitel,Call Center,North America,Mid-West
,Glasgow,,101 Hilltopper Way,Glasgow,KY,="",United States,North America - USA,True,Sitel,Call Center,North America,Southeast
,Knoxville,,412 North Peters Rd,Knoxville,TN,="37922",United States,North America - USA,True,Sitel,Call Center,North America,Southeast
,Las Vegas,,420 Pilot Road,Las Vegas,NV,="",United States,North America - USA,True,Sitel,Call Center,North America,West
,Norman,,2701 Technology Place,United States,OK,="",United States,North America - USA,True,Sitel,Call Center,North America,Mid-West
,Oak Ridge,,1089 Commerce Park Drive Building 5,Oak Ridge,TN,="",United States,North America - USA,True,Sitel,Call Center,North America,Mid-West
,Omaha,,7720 Crown Point Avenue,Omaha,NE,="68134",United States,North America - USA,True,Sitel,Call Center,North America,West
,Spartanburg,,"589 Springfield Road, Spartanburg, SC 29303",Spartanburg,SC,="29303",United States,North America - USA,True,Sitel,Call Center,North America,USA
,United States - Maxhubs,,United States - Maxhubs,United States - Maxhubs,Other,="",United States,North America - USA,True,Sitel,MAXhubs,North America,North America
,United States - Other Locations,,"Other Locations includes: Corporate office, Client Sites, Data Centers or any New Sites",United States - Other Locations,Other,="",United States,North America - USA,True,Sitel,Other,North America,USA
,United States - Virtual,,United States - Virtual,United States - Virtual,Other,="",United States,North America - USA,True,Sitel,Virtual,North America,USA
,China - Maxhubs,,China - Maxhubs,China - Maxhubs,Other,="",China,Asia Pacific - China,True,Sitel,MAXhubs,Asia Pacific,China
